Лист 2024-01-02_auchan.csv

﻿Категория;Наименование;Цена;Вес/Объем;Цена за единицу объема

Молоко;Молоко «Простоквашино» пастеризованное 3.4%-4.5% БЗМЖ;70;930 мл;75.3

Молоко;Молоко ультрапастеризованное «Каждый день» 3.2% БЗМЖ;62;930 мл;66.7

Сыр;Сыр мягкий АШАН Красная птица Рикотта шоколадно-ореховая 35%;198;200 г;990.0

Сыр;Сыр полутвердый Качотта с оливковым маслом АШАН Золотая птица БЗМЖ;300;200 г;1500.0

Лист 2024-01-02_globus.csv

﻿Категория;Наименование;Цена;Вес/Объем;Цена за единицу объема

Молоко;Молоко пастеризованное Домик в деревне отборное 3.5-4.5%;139;1.4 л;99.29

Молоко;Молоко безлактозное Parmalat Comfort ультрапастеризованное 1.8%;149;1.4 л;106.43

Сыр;Сыр полутвёрдый Лёгкий Сыробогатов 25%;179;200 г;895.0

Сыр;Сыр твёрдый Пармезан Сыробогатов 40%;189;200 г;945.0

Лист 2024-01-02_magnit.csv

﻿Категория;Наименование;Цена;Вес/Объем;Цена за единицу объема

Молоко;Молоко Простоквашино пастеризованное 2.5%;64;930мл;68.8

Молоко;Молоко Моя Цена ультрапастеризованное 3.2%;52;930мл;55.9

Сыр;Сыр творожный Hochland с зеленью 60%;125;140г;892.9

Сыр;Сыр Брест-Литовск Финский 45%;220;140г;1571.4

Лист 2024-01-02_metro.csv

﻿Категория;Наименование;Цена;Вес/Объем;Цена за единицу объема

Молоко;Молоко Parmalat ультрапастеризованное 3.5%;99;1л;99.0

Молоко;Молоко Домик в деревне ультрапастеризованное 3.2%;90;1л;90.0

Сыр;Сыр Ламбер полутвердый 50%;269;230г;1169.6

Сыр;Сыр Ламбер Классический 50%. ~;869;230г;3778.3

Лист 2024-01-02_miratorg.csv

﻿Категория;Наименование;Цена;Вес/Объем;Цена за единицу объема

Молоко;Молоко 3.2-4% ESL Правильное молоко;100;2л;50.0

Сыр;Сыр колбасный копченый Гурманский Город сыра 40%  нарезка;130;150г;866.7

Сыр;Сыр Тертый Три сыра Киприно;200;150г;1333.3

Лист 2024-01-02_perekrestok.csv

﻿Категория;Наименование;Цена;Вес/Объем;Цена за единицу объема

Молоко;Молоко детское ультрапастеризованное 3.2% Сарафаново;75;970мл;77.3

Молоко;Молоко Эконива ультрапастеризованное 3.2%;84;970мл;86.6

Сыр;Сыр Брест-Литовск Сливочный 50%;190;200г;950.0

Сыр;Сыр творожный Hochland Сливочный 60%;110;200г;550.0

Лист 2024-01-02_vkusvill.csv

﻿Категория;Наименование;Цена;Вес/Объем;Цена за единицу объема

Молоко;Молоко 2.5% в бутылке;77;900 мл;85.6

Молоко;Молоко 3.2%;75;900 мл;83.3

Сыр;Сыр «Российский»;923;1 кг;923.0

Сыр;Сыр полутвердый Вкуснотеево Сливочный 45%;263;200 г;1315.0

Лист 2024-01-02_vprok.csv

﻿Категория;Наименование;Цена;Вес/Объем;Цена за единицу объема

Молоко;Молоко Parmalat Natura Premium ультрапастеризованное 3.5%;120;1л;120.0

Сыр;Сыр Ламбер Классический 1/2 шара 50% 0.4-;116;0.6кг;193.33

